direct_requests,split_requests,dropped_requests,total_requests,percent_split,user_query_tokens,system_query_tokens,llm_response_tokens,total_llm_tokens,llm_cost,aks_cost,total_cost,max_nodes,avg_nodes
6536,25794,513,32330,80,3629395,94905544,42667370,141202309,424,2282,2705,11,8
6386,25943,567,32329,80,3498122,95253889,42811786,141563797,425,2293,2718,11,8
6431,25840,561,32271,80,3549355,94950119,42623874,141123348,423,2288,2711,11,8
6555,26128,559,32683,80,3615603,95890604,43259375,142765582,428,2294,2722,11,8
6434,25923,591,32357,80,3568454,95089627,42772245,141430326,424,2289,2714,11,8
6493,25689,564,32182,80,3572032,94211155,42462355,140245542,421,2281,2701,11,8
6506,26006,613,32512,80,3582228,95335355,43013182,141930765,426,2292,2718,11,8
6372,25932,648,32304,80,3504554,94915341,42694440,141114335,423,2292,2715,11,8
6533,25999,631,32532,80,3568960,95179769,42859254,141607983,425,2292,2716,11,8
6470,25839,577,32309,80,3578647,94806954,42593182,140978783,423,2291,2714,11,8
6392,25866,543,32258,80,3485667,95029367,42827643,141342677,424,2282,2706,11,8
6469,26049,604,32518,80,3532574,95563263,43008318,142104155,426,2294,2721,11,8
6558,25891,547,32449,80,3597228,95152940,42849556,141599724,425,2284,2708,11,8
6557,25929,642,32486,80,3546712,94951500,42867830,141366042,424,2287,2712,11,8
6379,26105,623,32484,80,3534847,95704176,43041891,142280914,427,2297,2724,11,8
6469,26063,659,32532,80,3531150,95369223,42936651,141837024,426,2292,2717,11,8
6473,25891,638,32364,80,3564928,94822983,42655336,141043247,423,2295,2718,11,8
6433,25679,623,32112,80,3518189,94085474,42142061,139745724,419,2287,2707,11,8
6380,25857,519,32237,80,3484038,95003952,42716794,141204784,424,2287,2711,11,8
6477,25807,594,32284,80,3582731,94655723,42617647,140856101,423,2281,2704,11,8
6508,26074,602,32582,80,3607414,95644485,42951155,142203054,427,2294,2720,11,8
6412,25997,631,32409,80,3543065,95244978,42807642,141595685,425,2288,2712,11,8
6441,25757,591,32198,80,3557727,94394530,42421994,140374251,421,2282,2703,11,8
6464,25740,559,32204,80,3542654,94477977,42497908,140518539,422,2281,2703,11,8
6557,25747,567,32304,80,3600196,94553546,42477347,140631089,422,2283,2705,11,8
6505,25840,605,32345,80,3558613,94774149,42631299,140964061,423,2293,2716,11,8
6427,25871,559,32298,80,3522089,94915965,42679067,141117121,423,2286,2710,11,8
6472,26102,639,32574,80,3541970,95501608,42885586,141929164,426,2294,2720,11,8
6372,25702,564,32074,80,3470723,94280507,42397179,140148409,420,2277,2697,11,8
6656,25917,590,32573,80,3670571,95180590,42858177,141709338,425,2295,2720,11,8
6440,25872,634,32312,80,3514706,94685378,42596366,140796450,422,2291,2714,11,8
6478,25794,586,32272,80,3552062,94627518,42537870,140717450,422,2288,2710,11,8
6558,25771,602,32329,80,3631755,94423978,42461160,140516893,422,2290,2712,11,8
6387,26214,606,32601,80,3499939,96181108,43142870,142823917,428,2303,2731,11,8
