"Name","CombinedTempDiskAndCachedWriteBytesPerSecond","HyperVGenerations","MemoryGBFlattened","EncryptionAtHostSupported","PremiumIO","Tier","CpuArchitectureType","Size","MaxResourceVolumeMB","MaxDataDiskCount","CombinedTempDiskAndCachedReadBytesPerSecond","CombinedTempDiskAndCachedIOPS","RdmaEnabled","cpuToRamRatio","vCPUsPerCore","ACUs","MaxNetworkInterfaces","vCPUsAvailable","MemoryPreservingMaintenanceSupported","retailPrice","retailPriceFlattened","vCPUs","EphemeralOSDiskSupported","MemoryGB","CapacityReservationSupported","LowPriorityCapable","AcceleratedNetworkingEnabled","VMDeploymentTypes","OSVhdSizeMB"
"Standard_E20_v4",,"V1,V2","16000","False","False","Standard","x64","E20_v4","0","32",,,"False","8","2","195","8","20","True","2.18","21800","20","False","160","True","True","True","IaaS","1047552"
"Standard_E2ds_v4","59768832","V1,V2","1600","True","True","Standard","x64","E2ds_v4","76800","4","120586240","19000","False","8","2","195","2","2","True","0.236","2360","2","True","16","True","True","True","IaaS","1047552"
"Standard_E2d_v4","59768832","V1,V2","1600","True","False","Standard","x64","E2d_v4","76800","4","120586240","19000","False","8","2","195","2","2","True","0.236","2360","2","False","16","True","True","True","IaaS","1047552"
"Standard_E2s_v3","33554432","V1,V2","1600","True","True","Standard","x64","E2s_v3","32768","4","33554432","4000","False","8","2","160","2","2","True","0.225","2250","2","True","16","True","True","True","IaaS","1047552"
"Standard_E2s_v4",,"V1,V2","1600","True","True","Standard","x64","E2s_v4","0","4",,,"False","8","2","195","2","2","True","0.218","2180","2","False","16","True","True","True","IaaS","1047552"
"Standard_E2_v3","24117248","V1","1600","False","False","Standard","x64","E2_v3","51200","4","48234496","3000","False","8","2","160","2","2","True","0.225","2250","2","False","16","True","True","True","IaaS,PaaS","1047552"
"Standard_E2_v4",,"V1,V2","1600","False","False","Standard","x64","E2_v4","0","4",,,"False","8","2","195","2","2","True","0.218","2180","2","False","16","True","True","True","IaaS","1047552"
"Standard_E32-16as_v4","536870912","V1,V2","25600","True","True","Standard","x64","E32-16as_v4","524288","32","536870912","64000","False","8","2","230","8","16","True","3.488","34880","32","True","256","True","True","True","IaaS,PaaS","1047552"
"Standard_E32-16ds_v4","967835648","V1,V2","25600","True","True","Standard","x64","E32-16ds_v4","1228800","32","1935671296","308000","False","8","2","195","8","16","True","3.776","37760","32","True","256","True","True","True","IaaS","1047552"
"Standard_E32-16s_v3","536870912","V1,V2","25600","True","True","Standard","x64","E32-16s_v3","524288","32","536870912","64000","False","8","2","160","8","16","True","3.6","36000","32","True","256","True","True","True","IaaS","1047552"
"Standard_E32-16s_v4",,"V1,V2","25600","True","True","Standard","x64","E32-16s_v4","0","32",,,"False","8","2","195","8","16","True","3.488","34880","32","False","256","True","True","True","IaaS","1047552"
"Standard_E32-8as_v4","536870912","V1,V2","25600","True","True","Standard","x64","E32-8as_v4","524288","32","536870912","64000","False","8","2","230","8","8","True","3.488","34880","32","True","256","True","True","True","IaaS,PaaS","1047552"
"Standard_E32-8ds_v4","967835648","V1,V2","25600","True","True","Standard","x64","E32-8ds_v4","1228800","32","1935671296","308000","False","8","2","195","8","8","True","3.776","37760","32","True","256","True","True","True","IaaS","1047552"
"Standard_E32-8s_v3","536870912","V1,V2","25600","True","True","Standard","x64","E32-8s_v3","524288","32","536870912","64000","False","8","2","160","8","8","True","3.6","36000","32","True","256","True","True","True","IaaS","1047552"
"Standard_E32-8s_v4",,"V1,V2","25600","True","True","Standard","x64","E32-8s_v4","0","32",,,"False","8","2","195","8","8","True","3.488","34880","32","False","256","True","True","True","IaaS","1047552"
"Standard_E32ds_v4","967835648","V1,V2","25600","True","True","Standard","x64","E32ds_v4","1228800","32","1935671296","308000","False","8","2","195","8","32","True","3.776","37760","32","True","256","True","True","True","IaaS","1047552"
"Standard_E32d_v4","967835648","V1,V2","25600","True","False","Standard","x64","E32d_v4","1228800","32","1935671296","308000","False","8","2","195","8","32","True","3.776","37760","32","False","256","True","True","True","IaaS","1047552"
"Standard_E32s_v3","536870912","V1,V2","25600","True","True","Standard","x64","E32s_v3","524288","32","536870912","64000","False","8","2","160","8","32","True","3.6","36000","32","True","256","True","True","True","IaaS","1047552"
"Standard_E32s_v4",,"V1,V2","25600","True","True","Standard","x64","E32s_v4","0","32",,"64000","False","8","2","195","8","32","True","3.488","34880","32","False","256","True","True","True","IaaS","1047552"
"Standard_E32_v3","393216000","V1","25600","False","False","Standard","x64","E32_v3","819200","32","786432000","48000","False","8","2","160","8","32","True","3.6","36000","32","False","256","True","True","True","IaaS,PaaS","1047552"
"Standard_E32_v4",,"V1,V2","25600","False","False","Standard","x64","E32_v4","0","32",,,"False","8","2","195","8","32","True","3.488","34880","32","False","256","True","True","True","IaaS","1047552"
"Standard_E4-2as_v4","67108864","V1,V2","3200","True","True","Standard","x64","E4-2as_v4","65536","8","67108864","8000","False","8","2","230","2","2","True","0.436","4360","4","True","32","True","True","True","IaaS,PaaS","1047552"
"Standard_E4-2ds_v4","120586240","V1,V2","3200","True","True","Standard","x64","E4-2ds_v4","153600","8","242221056","38500","False","8","2","195","2","2","True","0.472","4720","4","True","32","True","True","True","IaaS","1047552"
"Standard_E4-2s_v3","67108864","V1,V2","3200","True","True","Standard","x64","E4-2s_v3","65536","8","67108864","8000","False","8","2","160","2","2","True","0.45","4500","4","True","32","True","True","True","IaaS","1047552"
"Standard_E4-2s_v4",,"V1,V2","3200","True","True","Standard","x64","E4-2s_v4","0","8",,,"False","8","2","195","2","2","True","0.436","4360","4","False","32","True","True","True","IaaS","1047552"
"Standard_E48ds_v4",,"V1,V2","38400","True","True","Standard","x64","E48ds_v4","1843200","32",,"462000","False","8","2","195","8","48","True","5.664","56640","48","True","384","True","True","True","IaaS","1047552"
"Standard_E48d_v4",,"V1,V2","38400","True","False","Standard","x64","E48d_v4","1843200","32",,"462000","False","8","2","195","8","48","True","5.664","56640","48","False","384","True","True","True","IaaS","1047552"
"Standard_E48s_v3","805306368","V1,V2","38400","True","True","Standard","x64","E48s_v3","786432","32","805306368","96000","False","8","2","160","8","48","True","5.232","52320","48","True","384","True","True","True","IaaS","1047552"
"Standard_E48s_v4",,"V1,V2","38400","True","True","Standard","x64","E48s_v4","0","32",,,"False","8","2","195","8","48","True","5.232","52320","48","False","384","True","True","True","IaaS","1047552"
"Standard_E48_v3","524288000","V1","38400","False","False","Standard","x64","E48_v3","1228800","32","1048576000","96000","False","8","2","160","8","48","True","5.232","52320","48","False","384","True","True","True","IaaS,PaaS","1047552"
"Standard_E48_v4",,"V1,V2","38400","False","False","Standard","x64","E48_v4","0","32",,,"False","8","2","195","8","48","True","5.232","52320","48","False","384","True","True","True","IaaS","1047552"
"Standard_E4ds_v4","120586240","V1,V2","3200","True","True","Standard","x64","E4ds_v4","153600","8","242221056","38500","False","8","2","195","2","4","True","0.472","4720","4","True","32","True","True","True","IaaS","1047552"
"Standard_E4d_v4","120586240","V1,V2","3200","True","False","Standard","x64","E4d_v4","153600","8","242221056","38500","False","8","2","195","2","4","True","0.472","4720","4","False","32","True","True","True","IaaS","1047552"
"Standard_E4s_v3","67108864","V1,V2","3200","True","True","Standard","x64","E4s_v3","65536","8","67108864","8000","False","8","2","160","2","4","True","0.45","4500","4","True","32","True","True","True","IaaS","1047552"
